,Time A,Time B,vitoria,empate,derrota,site
0,América FC MG ,Fluminense FC RJ ,2.710,3.480,2.650,Pinnacle
1,Palmeiras ,Cuiabá Esporte Clube MT ,1.287,5.910,10.880,Pinnacle
2,Bragantino ,Bahia ,2.070,3.410,3.860,Pinnacle
3,Botafogo FR RJ ,São Paulo FC SP ,2.700,3.160,2.890,Pinnacle
4,CA Paranaense PR ,Goiás ,1.675,3.710,5.850,Pinnacle
5,Fortaleza EC CE ,SC Internacional RS ,2.260,3.270,3.490,Pinnacle
6,Atlético Mineiro ,Vasco da Gama ,1.555,4.460,5.850,Pinnacle
7,Corinthians ,Cruzeiro ,1.719,3.880,5.050,Pinnacle
8,Flamengo ,Coritiba ,1.314,5.900,9.250,Pinnacle
9,Gremio ,Santos ,1.581,4.310,5.750,Pinnacle
0,América FC,Fluminense FC, 2.70 , 3.10 , 2.55 ,Rivalo
1,SE Palmeiras,Cuiaba EC, 1.28 , 5.10 , 10.00 ,Rivalo
2,Botafogo FR,São Paulo FC, 2.50 , 3.10 , 2.80 ,Rivalo
3,Atlético Paranaense,Goiás EC, 1.65 , 3.60 , 5.10 ,Rivalo
4,Fortaleza EC,SC Internacional, 2.25 , 3.10 , 3.20 ,Rivalo
5,RB Bragantino,EC Bahia, 2.05 , 3.20 , 3.60 ,Rivalo
6,Atlético Mineiro,CR Vasco da Gama RJ, 1.55 , 3.90 , 5.70 ,Rivalo
7,CR Flamengo,Coritiba FC, 1.35 , 4.70 , 8.00 ,Rivalo
8,Corinthians,Cruzeiro MG, 1.72 , 3.50 , 4.70 ,Rivalo
9,Gremio FB Porto Alegrense RS,Santos FC, 1.52 , 3.80 , 6.20 ,Rivalo
0,América-MG,Fluminense,2.7,3.0,2.6,Betfair
1,Palmeiras,Cuiabá,1.26,5.0,12.0,Betfair
2,Fortaleza,Internacional,2.25,3.0,3.25,Betfair
3,Botafogo,São Paulo,2.5,3.0,2.9,Betfair
4,Bragantino,Bahia,2.0,3.25,3.75,Betfair
5,Athletico-PR,Goiás,1.6,3.75,5.0,Betfair
6,Atlético-MG,Vasco Da Gama,1.5,4.0,6.0,Betfair
7,Corinthians,Cruzeiro,1.7,3.4,5.0,Betfair
8,Flamengo,Coritiba,1.3,5.0,10.0,Betfair
9,Grêmio,Santos,1.5,3.75,6.5,Betfair
